RegistrationNo,ProductName,TotalContent,FirstProve,Period,Toxicity,Company,Remark,ScrapedAt
PD20210267,picoxystrobin、propiconazol,19%,2021.03.11,2031.03.10,Lowly Toxic,"Zhejiang Xinan Chemical Industrial Group Co., Ltd.",2023年12月28日，增加小麦赤霉病。,2026-05-03T19:11:53.203920
PD20210265,pyraclostrobin、epoxiconazole,17%,2021.03.11,2031.03.10,Moderately Toxic,"Zhejiang Xinnong Chemical Co.,Ltd",,2026-05-03T19:11:53.203920
PD20210264,oligosaccharins、kasugamycin,10%,2021.03.11,2031.03.10,Lowly Toxic,Shaanxi province pucheng meierguo agrochemicals  limited liability company,,2026-05-03T19:11:53.203920
PD20210263,difenoconazole,250克/升,2021.03.11,2031.03.10,Lowly Toxic,ADAMA Anpon (Jiangsu) Ltd,,2026-05-03T19:11:53.203920
PD20210262,fludioxonil,0.1%,2021.03.11,2031.03.10,Lowly Toxic,"SHAANXI BIOGEN CROP SCIENCE CO., LTD",,2026-05-03T19:11:53.203920
PD20210261,boscalid、fludioxonil,30%,2021.03.11,2031.03.10,Lowly Toxic,"Anyang City Ruipu Agrochemical Co.,Ltd.",2023年9月11日，变更原持有人河南省安阳市锐普农化有限责任公司。,2026-05-03T19:11:53.203920
PD20210260,boscalid,30%,2021.03.11,2031.03.10,Lowly Toxic,"Jiangsu Sword Agrochemicals Co., Ltd.",,2026-05-03T19:11:53.203920
PD20210259,zhongshengmycin,0.1%,2021.03.11,2031.03.10,Lowly Toxic,"SHAANXI BIOGEN CROP SCIENCE CO., LTD",,2026-05-03T19:11:53.203920
PD20210258,Phenamacril、tebuconazole,480克/升,2021.03.11,2031.03.10,Lowly Toxic,"Jiangsu Pesticide Research Institute Co., Ltd.",,2026-05-03T19:11:53.203920
PD20210257,tricyclazole,75%,2021.03.11,2031.03.10,Moderately Toxic,"BAILING AGROCHEMICAL CO.,LTD",,2026-05-03T19:11:53.203920
PD20210256,chltosan,0.5%,2021.03.11,2031.03.10,Lowly Toxic,,2022年10月9日变更农药类别杀菌剂。,2026-05-03T19:11:53.203920
PD20210255,hymexazol、oligosaccharins,0.3%,2021.03.11,2031.03.10,Lowly Toxic,"SHANXI YUNCHENG LUKANG INDUSTRIAL CO.,LTD.",,2026-05-03T19:11:53.203920
PD20210254,thifluzamide、hexaconazole,40%,2021.03.11,2031.03.10,Lowly Toxic,"Jiangsu Pesticide Research Institute Co., Ltd.",2024年1月24日，增加小麦纹枯病。,2026-05-03T19:11:53.203920
PD20210253,tebuconazole、pyraclostrobin,30%,2021.03.11,2031.03.10,Lowly Toxic,"Jiangsu Suke Agrochemical Co., Ltd.",,2026-05-03T19:11:53.203920
PD20210252,tebuconazole、pyraclostrobin,40%,2021.03.11,2031.03.10,Lowly Toxic,"Hebei Yetian Agrochemicals Co.,Ltd.",2022年04月24日，增加小麦赤霉病。 2025年5月30日，增加玉米大斑病。,2026-05-03T19:11:53.203920
PD20210251,azoxystrobin,250克/升,2021.03.11,2031.03.10,Lowly Toxic,"JIANGSU YUNFAN CHEMICAL CO., LTD.",,2026-05-03T19:11:53.203920
PD20210250,propamocarb、fluopicolide,586.5克/升,2021.03.11,2031.03.10,Lowly Toxic,"YIFAN BIOTECHNOLOGY GROUP CO., LTD.",霜霉威盐酸盐625克/升。,2026-05-03T19:11:53.203920
PD20210249,boscalid、pyraclostrobin,38%,2021.03.11,2031.03.10,Lowly Toxic,"Jiangsu Fengshan Group Co., Ltd.",2023年2月15日，变更原持有人江苏丰山集团股份有限公司。 2025年7月28日，增加大豆叶斑病。,2026-05-03T19:11:53.203920
PD20210248,cyprodinil、picoxystrobin,50%,2021.03.11,2031.03.10,Lowly Toxic,"Shandong Hailir Chemical Co., Ltd.",,2026-05-03T19:11:53.203920
PD20210247,boscalid、pyraclostrobin,38%,2021.03.11,2031.03.10,Lowly Toxic,"Jiangsu Sevencontinent Green Chemical Co., Ltd.",,2026-05-03T19:11:53.203920
PD20210246,oligosaccharins,6%,2021.03.11,2031.03.10,Lowly Toxic,"SHANDONG HUIMIN VANDA BIOLOGICAL TECHNOLOGY CO., LTD.",2024年9月29日，增加烟草病毒病。,2026-05-03T19:11:53.203920
PD20210245,pyraclostrobin,18%,2021.03.11,2031.03.10,Lowly Toxic,"Benxi ZhuangMiao-Tech Economic Development Zone Development Co., Ltd.",,2026-05-03T19:11:53.203920
PD20210244,dimethomorph、fluopicolide,40%,2021.03.11,2031.03.10,Lowly Toxic,"SHAANXI BIOGEN CROP SCIENCE CO., LTD",,2026-05-03T19:11:53.203920
PD20210243,deltamethrin,50克/升,2021.03.11,2031.03.10,Moderately Toxic,,2025年3月6日，变更原持有人印度TAGROS公司。,2026-05-03T19:11:53.203920
PD20210242,bifenthrin、flonicamid,15%,2021.03.11,2031.03.10,Lowly Toxic,"Shaanxi Dongpeng Kaiyuan Agricultural  Technology Co., LTD",2024年9月29日，增加烟草蚜虫。,2026-05-03T19:11:53.203920
PD20210241,clothianidin、flonicamid,70%,2021.03.11,2031.03.10,Lowly Toxic,"Hunan Agriculture University Heartale Chemurgy Co.,Ltd",,2026-05-03T19:11:53.203920
PD20210240,clothianidin、monosultap,0.5%,2021.03.11,2031.03.10,Lowly Toxic,"Guangxi Plant Protection Technology Co., Ltd",2022年06月30日，变更原持有人广西植保农药厂有限公司。,2026-05-03T19:11:53.203920
PD20210239,abamectin-aminomethyl、alpha-cypermethrin,7%,2021.03.11,2031.03.10,Moderately Toxic,"QINGDAO HANSEN BIOLOGIC SCIENCE CO., LTD",甲氨基阿维菌素苯甲酸盐0.57%。2022年10月24日，变更原持有人山东省青岛瀚生生物科技股份有限公司。,2026-05-03T19:11:53.203920
PD20210238,clothianidin、cyfluthrin,0.6%,2021.03.11,2031.03.10,Lowly Toxic,Ruyang Ziqiang Biotechnology co. ，LTD,2023年4月3日，增加姜蛆。,2026-05-03T19:11:53.203920
PD20210237,bifenthrin、clothianidin,20%,2021.03.11,2031.03.10,Lowly Toxic,"Shaanxi Yitianfeng Crop Technology Co., Ltd",,2026-05-03T19:11:53.203920
PD20210236,spirotetramat、deltamethrin,30%,2021.03.11,2031.03.10,Lowly Toxic,"Shaanxi Yitianfeng Crop Technology Co., Ltd",,2026-05-03T19:11:53.203920
PD20210235,deltamethrin、imidacloprid,30%,2021.03.11,2031.03.10,Lowly Toxic,"Shaanxi Tunpsion Biological Technology Co., Ltd.",,2026-05-03T19:11:53.203920
PD20210234,spirotetramat、flonicamid,40%,2021.03.11,2031.03.10,Lowly Toxic,"Shandong Jingbo Agrochemicals Technology Co., Ltd.",2023年2月15日，变更原持有人京博农化科技有限公司。 2025年9月1日，增加棉花蚜虫。,2026-05-03T19:11:53.203920
PD20210233,chlorfenapyr,10%,2021.03.11,2031.03.10,Lowly Toxic,"Nanyang Xinwolong Biochemical Co., Ltd.",,2026-05-03T19:11:53.203920
PD20210232,etoxazole、spirotetramat,35%,2021.03.11,2031.03.10,Lowly Toxic,"Jiangxi Dingzheng Biological Technology Co., LTD",2023年7月28日，变更原持有人江西抚州新兴化工有限公司。,2026-05-03T19:11:53.203920
PD20210231,lufenuron,15%,2021.03.11,2031.03.10,Lowly Toxic,"SIXF CROP PROTECTION CO.,LTD",2022年7月29日增加柑橘树锈壁虱。,2026-05-03T19:11:53.203920
PD20210230,bifenthrin、thiamethoxam,35%,2021.03.11,2031.03.10,Lowly Toxic,Henan Jintiandi Pesticide and Chemical  Limited  corporation,,2026-05-03T19:11:53.203920
PD20210229,abamectin-aminomethyl,5%,2021.03.11,2031.03.10,Lowly Toxic,"JIANGSU YUNFAN CHEMICAL CO., LTD.",甲氨基阿维菌素苯甲酸盐含量：5.7%。,2026-05-03T19:11:53.203920
PD20210228,chlorfenapyr、methoxyfenozide,24%,2021.03.11,2031.03.10,Lowly Toxic,"Henan Kehui Industrial Co., Ltd",,2026-05-03T19:11:53.203920
PD20210227,clothianidin、spirotetramat,30%,2021.03.11,2031.03.10,Lowly Toxic,"Hebei Veyong Bio-Chemical Co., Ltd.",,2026-05-03T19:11:53.203920
PD20210226,thiamethoxam,0.12%,2021.03.11,2031.03.10,Lowly Toxic,"Hubei Xianlong Chemical Industry Co., Ltd.",2025年12月22日，增加小麦蛴螬。,2026-05-03T19:11:53.203920
PD20210225,clothianidin、lambda-cyhalothrin,12%,2021.03.11,2031.03.10,Lowly Toxic,"SHAANXI BIOGEN CROP SCIENCE CO., LTD",,2026-05-03T19:11:53.203920
PD20210224,indoxacarb、chlorfenapyr,28%,2021.03.11,2031.03.10,Lowly Toxic,"QINGDAO ZHENGDAO PHARMACEUTICAL CO.,LTD",,2026-05-03T19:11:53.203920
PD20210223,thiodicarb,375克/升,2021.03.11,2031.03.10,Moderately Toxic,"Jilin Province Bada Pesticide Co., Ltd.",2024年5月21日，变更玉米蛴螬原用药量1900-2800毫升/100千克种子。2025年12月22日，变更原持有人吉林省八达农药有限公司。,2026-05-03T19:11:53.203920
PD20210222,dinotefuran、isoprocarb,24%,2021.03.11,2031.03.10,Lowly Toxic,"Hunan Suncas Agricultural Development Co., Ltd",,2026-05-03T19:11:53.203920
PD20210221,dinotefuran,1%,2021.03.11,2031.03.10,Lowly Toxic,"JINAN TIANYUBAIHE PLANT NUTRITION TECHNOLOGY CO., LTD",2023年11月6日，变更原持有人山东汤普乐作物科学有限公司。 2025年9月1日，增加大葱根蛆。,2026-05-03T19:11:53.203920
PD20210220,abamectin,5%,2021.03.11,2031.03.10,Lowly Toxic (technical material is highly toxic),"Pilarquim(Jiangsu)Co.,Ltd",质量浓度53克/升。2022年7月29日标注质量浓度。,2026-05-03T19:11:53.203920
PD20210219,thiamethoxam,46%,2021.03.11,2031.03.10,Lowly Toxic,"Qingdao Rainbow Chemical Co., Ltd.",噻虫嗪600克/升。,2026-05-03T19:11:53.203920
PD20210218,clothianidin、lambda-cyhalothrin,25%,2021.03.11,2031.03.10,Moderately Toxic,"Hebei Sai Feng Biological Technology Co., Ltd.",2023年2月3日，增加林木天牛。 2023年6月21日，增加小麦蚜虫。 2025年2月25日，增加百合蛴螬。,2026-05-03T19:11:53.203920
PD20210217,etoxazole,20%,2021.03.11,2031.03.10,Slightly Toxic,"NORTH CHINA PHARMACEUTICAL GROUP  AINO CO., LTD.",,2026-05-03T19:11:53.203920
PD20210216,thiodicarb、imidacloprid,54%,2021.03.11,2031.03.10,Moderately Toxic,"Benxi ZhuangMiao-Tech Economic Development Zone Development Co., Ltd.",,2026-05-03T19:11:55.016054
PD20210214,z-8-dodecen-1-ol、z-8-dodecen-1-y acetate、E-8-dodecen-1-ylacetate,240毫克/个,2021.03.11,2031.03.10,Lowly Toxic,"Pherobio Yangling Xianglin Co., Ltd",2025年3月16日，增加杏树李小食心虫。,2026-05-03T19:11:55.016054
PD20210206,abamectin、fosthiazate,11%,2021.03.11,2031.03.10,Lowly Toxic (technical material is highly toxic),"Shandong Binnong Technology Co., Ltd.",2022年05月26日，变更原持有人沾化国昌精细化工有限公司。,2026-05-03T19:11:55.016054
PD20210205,azadirachtin,0.3%,2021.03.11,2031.03.10,Lowly Toxic,"Sichuan Green Gold Biological Science and Technology CO.,LTD",2024年3月20日，增加油菜蚜虫。 2024年8月23日，变更原农药类别杀线虫剂。2025年1月14日，变更原持有人成都绿金生物科技有限责任公司。,2026-05-03T19:11:55.016054
PD20210204,bentazone,480克/升,2021.03.11,2031.03.10,Lowly Toxic,"Tianjin Book Agrochemicals Co., LTD",2022年06月01日，增加水稻移栽田一年生阔叶杂草及莎草科杂草。,2026-05-03T19:11:55.016054
PD20210203,"24-epibrassinolide、gibberellic acid A4,A7",0.4%,2021.03.11,2031.03.10,Lowly Toxic,"Jiangsu State Farms Biochemistry Co., Ltd",,2026-05-03T19:11:55.016054
PD20210202,1-methylcyclopropene(1-MCP),3.3%,2021.03.11,2031.03.10,Lowly Toxic,AnHui JinTai Pesticide Chemical Co.，Ltd,,2026-05-03T19:11:55.016054
PD20210201,1-methylcyclopropene(1-MCP),3.3%,2021.03.11,2031.03.10,Lowly Toxic,"Hebi Quanfeng Biological Technology Co., Ltd.",,2026-05-03T19:11:55.016054
PD20210200,28-epihomobrassinolide,0.01%,2021.03.11,2031.03.10,Lowly Toxic,"JIANGXI BUFFETT CHEMICAL Co.,Ltd.",,2026-05-03T19:11:55.016054
PD20210199,1-methylcyclopropene(1-MCP),3.3%,2021.03.11,2031.03.10,Lowly Toxic,"YANG ZHOU SULING AGROCHEMICALS CO., LTD",,2026-05-03T19:11:55.016054
PD20210198,1-methylcyclopropene(1-MCP),3.3%,2021.03.11,2031.03.10,Lowly Toxic,,2023年6月3日，变更原持有人陕西省商州市农药厂。,2026-05-03T19:11:55.016054
PD20210197,gibberellic acid,40%,2021.03.11,2031.03.10,Lowly Toxic,"Shandong Lukang Biological Pesticides Co.,Ltd.",,2026-05-03T19:11:55.016054
PD20210196,prohexadione calcium,8%,2021.03.11,2031.03.10,Lowly Toxic,"Zhong Mian Xiao Kang Biotechnology Co., Ltd.",,2026-05-03T19:11:55.016054
PD20210195,24-epibrassinolide,0.01%,2021.03.11,2031.03.10,Lowly Toxic,"Shandong Dongtai Agricultural Chemistry Co., LTD",2023年7月23日，增加小麦调节生长。,2026-05-03T19:11:55.016054
PD20210194,thidiazuron,0.2%,2021.03.11,2031.03.10,Lowly Toxic,"Jiangxi Zhonghe Chemical Co., Ltd.",,2026-05-03T19:11:55.016054
PD20210193,14-hydroxylated brassinosteroid,0.0075%,2021.03.11,2031.03.10,Slightly Toxic,"Guilin Jiqi Biochemical Co.,Ltd.",,2026-05-03T19:11:55.016054
PD20210192,gibberellic acid,40%,2021.03.11,2031.03.10,Lowly Toxic,"SHANDONG AOWEITE BIOTECHNOLOGY CO., LTD",,2026-05-03T19:11:55.016054
PD20210191,niclosamide,42%,2021.03.11,2031.03.10,Lowly Toxic,"Nantong Luosen Chemical CO.,LTD.",杀螺胺乙醇胺盐50%。,2026-05-03T19:11:55.016054
PD20210190,spirodiclofen、profenofos,50%,2021.03.11,2031.03.10,Lowly Toxic,"QINGDAO ZHONGDA AGRITECH CO., LTD.",,2026-05-03T19:11:55.016054
PD20210189,bifenthrin、abamectin,27%,2021.03.11,2031.03.10,Moderately Toxic (technical material is highly toxic),"Jiangsu Rotam Chemistry Co., Ltd",,2026-05-03T19:11:55.016054
PD20210188,fluazinam,40%,2021.03.11,2031.03.10,Lowly Toxic,"GUANGXI BINDLEY BIOTECHNOLOGY CO.,LTD",,2026-05-03T19:11:55.016054
PD20210187,propargite,30%,2021.03.11,2031.03.10,Lowly Toxic,"Jiangsu Gongcheng Bio-tech Co.,Ltd",2023年3月28日，变更原持有人南通联农佳田作物科技有限公司。,2026-05-03T19:11:55.016054
PD20210186,etoxazole、hexythiazox,20%,2021.03.11,2031.03.10,Slightly Toxic,"Hunan Agriculture University Heartale Chemurgy Co.,Ltd",,2026-05-03T19:11:55.016054
PD20210185,暂无,1%,2021.03.11,2031.03.10,Slightly Toxic,"Shaan xi Xian Nong biology science Co., Ltd",,2026-05-03T19:11:55.016054
PD20210184,E-8-dodecen-1-ylacetate,97%,2021.03.11,2031.03.10,Lowly Toxic,"Pherobio Yangling Xianglin Co., Ltd",2022年01月18日，变更原农药名称反-8-十二碳烯乙酯，变更原农药类别杀虫剂。,2026-05-03T19:11:55.016054
PD20210183,glufosinate-p,90%,2021.03.11,2031.03.10,Moderately Toxic,"Shandong Luba Chemical Co., Ltd.",精草铵膦铵盐98.5%。,2026-05-03T19:11:55.016054
PD20210182,z-8-dodecen-1-y acetate,97%,2021.03.11,2031.03.10,Lowly Toxic,"Pherobio Yangling Xianglin Co., Ltd",2022年01月18日，变更原农药类别杀虫剂。,2026-05-03T19:11:55.016054
PD20210181,z-8-dodecen-1-ol,97%,2021.03.11,2031.03.10,Lowly Toxic,"Pherobio Yangling Xianglin Co., Ltd",,2026-05-03T19:11:55.016054
PD20110296,abamectin-aminomethyl,2%,2011.03.11,2031.03.10,Lowly Toxic,"SHIJIAZHUANG CITY SENTAY CHEMICAL CO., LTD",甲氨基阿维菌素苯甲酸盐含量：2.3%。,2026-05-03T19:11:55.016054
PD20110295,tebuconazole,80%,2011.03.11,2031.03.10,Lowly Toxic,"Jiangsu Fengdeng Crop Science Co., Ltd.",,2026-05-03T19:11:55.016054
PD20110293,acetamiprid,25%,2011.03.11,2031.03.10,Lowly Toxic,"HeBei Runda Pesticide Chemical Co.,Ltd.",,2026-05-03T19:11:55.016054
PD20110292,(+)-abscisic acid,90%,2011.03.11,2031.03.10,Lowly Toxic,"Sichuan Runer Technology Co.,Ltd.",,2026-05-03T19:11:55.016054
PD20110291,lambda-cyhalothrin,5%,2011.03.11,2031.03.10,Moderately Toxic,"SHIJIAZHUANG CITY SENTAY CHEMICAL CO., LTD",,2026-05-03T19:11:55.016054
PD20110290,chlorpropham,99%,2011.03.11,2031.03.10,Lowly Toxic,"Sichuan Runer Technology Co.,Ltd.",,2026-05-03T19:11:55.016054
PD20110288,fluthiacet-methyl,95%,2011.03.11,2031.03.10,Lowly Toxic,,,2026-05-03T19:11:55.016054
PD20110287,tebuconazole,430克/升,2011.03.11,2031.03.10,Lowly Toxic,"Bayer Cropscience(China) Co., Ltd.",,2026-05-03T19:11:55.016054
PD20110286,cymoxanil、metalaxyl,25%,2011.03.11,2031.03.10,Lowly Toxic,"JIANGSU BAOLING CHEMICAL CO.,LTD.",,2026-05-03T19:11:55.016054
PD20110284,abamectin,5%,2011.03.11,2031.03.10,Moderately Toxic (technical material is highly toxic),"Hebei Veyong Bio-Chemical Co., Ltd.",,2026-05-03T19:11:55.016054
PD20110283,dimethomorph,50%,2011.03.11,2031.03.10,Lowly Toxic,Shandong Cynda Chemical Co.，Ltd.,,2026-05-03T19:11:55.016054
PD20110282,fomesafen,98%,2011.03.11,2031.03.10,Lowly Toxic,"Shandong Jingbo Agrochemicals Technology Co., Ltd.",2023年2月15日，变更原持有人京博农化科技有限公司。,2026-05-03T19:11:55.016054
PD20110280,abamectin、petroleum oil,24.5%,2011.03.11,2031.03.10,Lowly Toxic (technical material is highly toxic),"HEILONGJIANG LIANSHUN BIOTECH CO., LTD.",2022年10月24日，变更原持有人黑龙江省绥化农垦晨环生物制剂有限责任公司。,2026-05-03T19:11:55.016054
PD20110278,gibberellic acid,20%,2011.03.11,2031.03.10,Slightly Toxic,"Sichuan Xinlanyue Biotechnology Co., Ltd",2023年7月9日，变更原持有人四川省兰月科技有限公司。,2026-05-03T19:11:55.016054
PD20110277,glyphosate,68%,2011.03.11,2031.03.10,Lowly Toxic,"SHENZHEN NOPOSION CROP SCIENCE CO., LTD",草甘膦铵盐含量：74.7%。2023年9月11日，变更原持有人深圳诺普信农化股份有限公司。,2026-05-03T19:11:55.016054
PD20110276,abamectin,3.2%,2011.03.11,2031.03.10,Moderately Toxic (technical material is highly toxic),,,2026-05-03T19:11:55.016054
PD20110275,暂无,95%,2011.03.11,2031.03.10,Lowly Toxic,"ZHEJIANG DONG FENG CHEM.IND CO., LTD.",,2026-05-03T19:11:55.016054
PD20110274,暂无,20%,2011.03.11,2031.03.10,Lowly Toxic,"ZHEJIANG DONG FENG CHEM.IND CO., LTD.",2024年6月11日，增加观赏兰花软腐病。,2026-05-03T19:11:55.016054
WP20110066,rich-d-transallethrin,0.2%,2011.03.07,2031.03.06,Slightly Toxic,,,2026-05-03T19:11:55.016054
PD20110272,mancozeb、dimethomorph,69%,2011.03.07,2031.03.06,Lowly Toxic,"HEBEI YINUO BIOCHEMICAL CO.,LTD",,2026-05-03T19:11:55.016054
PD20110271,acetamiprid,20%,2011.03.07,2031.03.06,Lowly Toxic,"SHIJIAZHUANG CITY SENTAY CHEMICAL CO., LTD",,2026-05-03T19:11:55.016054
PD20110270,butachlor、oxadiazon,60%,2011.03.07,2031.03.06,Lowly Toxic,"Hefei Xingyu Chemical Co.,Ltd.",,2026-05-03T19:11:55.016054
PD20110266,abamectin,3.2%,2011.03.07,2031.03.06,Moderately Toxic (technical material is highly toxic),"ZHEJIANG QICHAO BIOTECH CO., LTD.",2026年2月11日，变更原持有人浙江钱江生物化学股份有限公司。,2026-05-03T19:11:55.016054
PD20110265,haloxyfop-P-methyl,22%,2011.03.07,2031.03.06,Lowly Toxic,"WEIFANG NUCHLOR CHEMICAL CO., LTD.",2024年5月21日，增加非耕地禾本科杂草。,2026-05-03T19:11:55.016054
PD20110264,diethyl aminoethyl hexanoate、ethephon,30%,2011.03.07,2031.03.06,Lowly Toxic,"Shanxi Haozhida Biotechnology Co., Ltd",,2026-05-03T19:11:55.016054
PD20060058,triadimefon、carbendazim,40%,,2031.03.06,Lowly Toxic,"Nanjing BaoFeng Pesticide Co.,LTD",2025年7月4日，变更原持有人南京保丰农药有限公司。,2026-05-03T19:11:55.016054
PD20060057,triadimefon、carbendazim,40%,,2031.03.06,Lowly Toxic,"Jiangsu Jiannong ABA  Agrochemical Co., Ltd.",,2026-05-03T19:11:55.016054
PD85154-52,fenvalerate,20%,,2031.03.05,Moderately Toxic,"Gansu Ruidong Chemical Co., Ltd",2025年4月23日，变更原持有人江苏瑞东农药有限公司。,2026-05-03T19:11:55.016054
PD20060055,sethoxydim,96%,2006.03.06,2031.03.05,Lowly Toxic,Shandong Cynda Chemical Co.，Ltd.,,2026-05-03T19:11:55.016054
PD20060054,triadimefon,20%,2006.03.06,2031.03.05,Lowly Toxic,Hebei Shenhua Pharmaceutical Co.，Ltd.,,2026-05-03T19:11:55.016054
WP20110065,meperfluthrin,90%,2011.03.04,2031.03.03,Lowly Toxic,"Youjia Crop Protection Co., Ltd.",,2026-05-03T19:11:55.016054
WP20110064,meperfluthrin,0.05%,2011.03.04,2031.03.03,Slightly Toxic,"BaodingCity Lianhe Home Chemicals Co.,Ltd.",,2026-05-03T19:11:55.016054
PD20110262,difenoconazole、propiconazol,300克/升,2011.03.04,2031.03.03,Lowly Toxic,"Jiangsu Sevencontinent Green Chemical Co., Ltd.",,2026-05-03T19:11:55.016054
PD20110261,abamectin,1.8%,2011.03.04,2031.03.03,Moderately Toxic (technical material is highly toxic),"ZHEJIANG QICHAO BIOTECH CO., LTD.",2026年2月11日，变更原持有人浙江钱江生物化学股份有限公司。,2026-05-03T19:11:55.016054
PD20110260,glyphosate,30%,2011.03.04,2031.03.03,Lowly Toxic,"NINGBO LINGHUA INDUSTRIAL CO., LTD",草甘膦铵盐含量：33%。2024年7月4日，变更原持有人浙江菱化实业股份有限公司。,2026-05-03T19:11:55.016054
PD20110259,profenofos、trichlorfon,40%,2011.03.04,2031.03.03,Moderately Toxic,"ANHUI HUAXING CHEMICAL INDUSTRY CO.,LTD.",,2026-05-03T19:11:55.016054
PD20110258,acetochlor,89%,2011.03.04,2031.03.03,Lowly Toxic,"SHANDONG AOKUN CROP SCIENCE CO.,LTD.",质量浓度为：999克/升。,2026-05-03T19:11:55.016054
PD20110257,glyphosate,30%,2011.03.04,2031.03.03,Lowly Toxic,"CHONGQING PESTICIDE﹠CHEMICAL INDUSTRY(GROUP)CO., LTD.",草甘膦铵盐含量：33%。,2026-05-03T19:11:55.016054
PD20110255,pyridalyl,10.5%,2011.03.04,2031.03.03,Lowly Toxic,,产品质量浓度为100克/升。,2026-05-03T19:11:55.016054
PD20110254,pyridalyl,91%,2011.03.04,2031.03.03,Lowly Toxic,,,2026-05-03T19:11:55.016054
WP20110063,dimefluthrin,0.015%,2011.03.03,2031.03.02,Slightly Toxic,Shanghai Johnson Ltd.,2024年12月16日，变更原持有人江苏庄臣同大有限公司。,2026-05-03T19:11:55.016054
WP20110062,acephate,3.1%,2011.03.03,2031.03.02,Lowly Toxic,"wuling pharmaceutical factory,yuhong distrzct,shenyang city",2025年7月4日，变更原农药名称杀蟑饵粒。,2026-05-03T19:11:55.016054
PD20110250,glyphosate、dicamba,35%,2011.03.03,2031.03.02,Lowly Toxic,"Zhejiang Baike Crop Science Co.,Ltd",2025年9月25日，变更原持有人浙江拜克生物科技有限公司。,2026-05-03T19:11:55.016054
PD20110249,abamectin-aminomethyl,0.5%,2011.03.03,2031.03.02,Lowly Toxic,"Hebei Green Agrosino Crop Science Co.,Ltd",甲氨基阿维菌素苯甲酸盐含量:0.57%。,2026-05-03T19:11:55.016054
PD20110248,fenobucarb、chlorpyrifos,20%,2011.03.03,2031.03.02,Lowly Toxic,"Guangxi Antai Chemical Co.,Ltd",,2026-05-03T19:11:55.016054
PD20110247,imidacloprid,70%,2011.03.03,2031.03.02,Lowly Toxic,"YONGNONG BIOSCIENCES CO., LTD.",,2026-05-03T19:11:55.016054
PD20110246,tribenuron-methyl、carfentrazone-ethyl、MCPA-sodium,55%,2011.03.03,2031.03.02,Lowly Toxic,"FMC(Suzhou)Crop Care Co., Ltd",,2026-05-03T19:11:55.016054
PD20110245,fomesafen,250克/升,2011.03.03,2031.03.02,Lowly Toxic,"Henan Zhongtianhengxin Biochemistry Science and Technology Co., Ltd.",,2026-05-03T19:11:55.016054
PD20110244,dimethomorph,50%,2011.03.03,2031.03.02,Lowly Toxic,"SHENZHEN NOPOSION CROP SCIENCE CO., LTD",2023年9月11日，变更原持有人深圳诺普信农化股份有限公司。,2026-05-03T19:11:55.016054
PD20110243,chlorpyrifos,5%,2011.03.03,2031.03.02,Lowly Toxic,"Hebei Nongxin Bio-technology Co.,Ltd",2022年04月02日，变更原持有人河北瑞宝德生物化学有限公司。,2026-05-03T19:11:55.016054
PD20110241,pyrazosulfuron-ethyl,10%,2011.03.03,2031.03.02,Lowly Toxic,"Henan Zhongtianhengxin Biochemistry Science and Technology Co., Ltd.",,2026-05-03T19:11:55.016054
PD20110240,quinclorac,50%,2011.03.03,2031.03.02,Lowly Toxic,SHANDONG TOPPER CROP SCIENCE LIMITED,2023年9月11日，变更原持有人济南天雨百禾植物营养技术有限公司。,2026-05-03T19:11:55.016054
PD20110239,abamectin-aminomethyl,3%,2011.03.03,2031.03.02,Lowly Toxic,"Dongguan Ruidefeng Biotechnology Co.,Ltd.",甲氨基阿维菌素苯甲酸盐3.4%。 2023年6月21日，增加核桃树举肢蛾。,2026-05-03T19:11:55.016054
PD20110238,cyromazine,50%,2011.03.03,2031.03.02,Lowly Toxic,"Dongguan Ruidefeng Biotechnology Co.,Ltd.",,2026-05-03T19:11:55.016054
PD20110236,glyphosate,30%,2011.03.03,2031.03.02,Lowly Toxic,"Henan Zhongtianhengxin Biochemistry Science and Technology Co., Ltd.",草甘膦异丙胺盐含量:41%。,2026-05-03T19:11:55.016054
PD20060050,glyphosate,68%,2006.03.03,2031.03.02,Lowly Toxic,,草甘膦铵盐含量:74.7%。,2026-05-03T19:11:55.016054
EX20200001,fipronil,50克/升,2011.03.03,2031.03.02,Lowly Toxic,"Jiangsu Tuoqiu Agrochemicals Co., Ltd.",原登记证号为PD20110242。,2026-05-03T19:11:55.016054
WP20260056,clothianidin、pyriproxyfen,1%,2026.03.02,2031.03.01,,abc,,2026-05-03T19:11:55.016054
WP20260055,d-phenothrin、prallethrin,0.23%,2026.03.02,2031.03.01,,,,2026-05-03T19:11:55.016054
WP20260054,bifenthrin,5%,2026.03.02,2031.03.01,,"Zhejiang Ninger Pesticide Co.,Ltd.",质量浓度51克/升。,2026-05-03T19:11:55.016054
WP20260053,metofluthrin、beta-cypermethrin,6%,2026.03.02,2031.03.01,,"Zhejiang Dile Chemicals Co.,Ltd.",质量浓度60克/升（高效氯氰菊酯50克/升；甲氧苄氟菊酯10克/升）。,2026-05-03T19:11:55.016054
WP20260052,dinotefuran,0.5%,2026.03.02,2031.03.01,,,质量浓度5克/升。,2026-05-03T19:11:55.016054
WP20260051,clothianidin、beta-cyfluthrin,1%,2026.03.02,2031.03.01,,"Shandong Xinxing Biotechnology Co., Ltd.",,2026-05-03T19:11:55.016054
